peer,KPI,sort,Product,Hierarchy1,average,Value,Rank,last,group,Code
Planning-Focused Products,Recommendation,7,Anaplan,,6.457550429,9.316961158,2,,2,
Planning-Focused Products,Recommendation,7,Board,,6.457550429,6.426452296,11,,2,
Planning-Focused Products,Recommendation,7,CCH Tagetik,,6.457550429,7.446952596,7,,2,
Planning-Focused Products,Recommendation,7,CoPlanner,,6.457550429,5.857271848,14,,2,
Planning-Focused Products,Recommendation,7,Corporate Planning,,6.457550429,4.453724605,16,,2,
Planning-Focused Products,Recommendation,7,IBM Plan. Analytics,,6.457550429,6.390519187,12,,2,
Planning-Focused Products,Recommendation,7,Jedox,,6.457550429,5.890965405,13,,2,
Planning-Focused Products,Recommendation,7,LucaNet,,6.457550429,6.943889068,8,,2,
Planning-Focused Products,Recommendation,7,macs Software,,6.457550429,8.890744921,3,,2,
Planning-Focused Products,Recommendation,7,OneStream,,6.457550429,10,1,,2,
Planning-Focused Products,Recommendation,7,Oracle Cloud EPM,,6.457550429,6.883521445,10,,2,
Planning-Focused Products,Recommendation,7,Planful,,6.457550429,7.623024831,5,,2,
Planning-Focused Products,Recommendation,7,Prophix,,6.457550429,7.568381723,6,,2,
Planning-Focused Products,Recommendation,7,SAP Analytics Cloud,,6.457550429,3.541350298,18,,2,
Planning-Focused Products,Recommendation,7,SAP BPC,,6.457550429,1,19,,2,
Planning-Focused Products,Recommendation,7,Serviceware Perf.,,6.457550429,5.615801354,15,,2,
Planning-Focused Products,Recommendation,7,Unit4 FP&A,,6.457550429,3.661399549,17,,2,
Planning-Focused Products,Recommendation,7,Valsight,,6.457550429,6.894942346,9,,2,
Planning-Focused Products,Recommendation,7,Workday Adapt. Plan.,,6.457550429,8.287555523,4,,2,
Planning-Focused Products,Vendor Support,8,Anaplan,,6.61907208,7.799831791,7,,2,
Planning-Focused Products,Vendor Support,8,Board,,6.61907208,7.294176207,10,,2,
Planning-Focused Products,Vendor Support,8,CCH Tagetik,,6.61907208,7.422764228,9,,2,
Planning-Focused Products,Vendor Support,8,CoPlanner,,6.61907208,6.931263858,12,,2,
Planning-Focused Products,Vendor Support,8,Corporate Planning,,6.61907208,7.194280908,11,,2,
Planning-Focused Products,Vendor Support,8,IBM Plan. Analytics,,6.61907208,4.314855876,15,,2,
Planning-Focused Products,Vendor Support,8,Jedox,,6.61907208,5.430894309,13,,2,
Planning-Focused Products,Vendor Support,8,LucaNet,,6.61907208,9.292682927,4,,2,
Planning-Focused Products,Vendor Support,8,macs Software,,6.61907208,9.577235772,3,,2,
Planning-Focused Products,Vendor Support,8,OneStream,,6.61907208,9.084185681,5,,2,
Planning-Focused Products,Vendor Support,8,Oracle Cloud EPM,,6.61907208,4.292682927,16,,2,
Planning-Focused Products,Vendor Support,8,Planful,,6.61907208,7.988742964,6,,2,
Planning-Focused Products,Vendor Support,8,Prophix,,6.61907208,7.480836237,8,,2,
Planning-Focused Products,Vendor Support,8,SAP Analytics Cloud,,6.61907208,2.780487805,18,,2,
Planning-Focused Products,Vendor Support,8,SAP BPC,,6.61907208,1,19,,2,
Planning-Focused Products,Vendor Support,8,Serviceware Perf.,,6.61907208,9.919259882,2,,2,
Planning-Focused Products,Vendor Support,8,Unit4 FP&A,,6.61907208,3.56097561,17,,2,
Planning-Focused Products,Vendor Support,8,Valsight,,6.61907208,10,1,,2,
Planning-Focused Products,Vendor Support,8,Workday Adapt. Plan.,,6.61907208,4.397212544,14,,2,
Planning-Focused Products,Implementer Support,9,Anaplan,,7.052603275,7.082240763,10,,2,
Planning-Focused Products,Implementer Support,9,Board,,7.052603275,6.075381026,17,,2,
Planning-Focused Products,Implementer Support,9,CCH Tagetik,,7.052603275,8.059169079,6,,2,
Planning-Focused Products,Implementer Support,9,CoPlanner,,7.052603275,6.958706602,12,,2,
Planning-Focused Products,Implementer Support,9,Corporate Planning,,7.052603275,6.134620296,16,,2,
Planning-Focused Products,Implementer Support,9,IBM Plan. Analytics,,7.052603275,7.421959706,8,,2,
Planning-Focused Products,Implementer Support,9,Jedox,,7.052603275,7.145365362,9,,2,
Planning-Focused Products,Implementer Support,9,LucaNet,,7.052603275,8.401668653,4,,2,
Planning-Focused Products,Implementer Support,9,macs Software,,7.052603275,9.849821216,2,,2,
Planning-Focused Products,Implementer Support,9,OneStream,,7.052603275,8.346183881,5,,2,
Planning-Focused Products,Implementer Support,9,Oracle Cloud EPM,,7.052603275,6.24135876,15,,2,
Planning-Focused Products,Implementer Support,9,Planful,,7.052603275,7.067843924,11,,2,
Planning-Focused Products,Implementer Support,9,Prophix,,7.052603275,6.330005959,13,,2,
Planning-Focused Products,Implementer Support,9,SAP Analytics Cloud,,7.052603275,5.206538396,18,,2,
Planning-Focused Products,Implementer Support,9,SAP BPC,,7.052603275,1,19,,2,
Planning-Focused Products,Implementer Support,9,Serviceware Perf.,,7.052603275,8.887604291,3,,2,
Planning-Focused Products,Implementer Support,9,Unit4 FP&A,,7.052603275,7.460988356,7,,2,
Planning-Focused Products,Implementer Support,9,Valsight,,7.052603275,10,1,,2,
Planning-Focused Products,Implementer Support,9,Workday Adapt. Plan.,,7.052603275,6.330005959,14,,2,
Planning-Focused Products,Product Satisfaction,10,Anaplan,,7.701586794,8.913897484,4,,2,
Planning-Focused Products,Product Satisfaction,10,Board,,7.701586794,8.158347908,7,,2,
Planning-Focused Products,Product Satisfaction,10,CCH Tagetik,,7.701586794,8.882416252,5,,2,
Planning-Focused Products,Product Satisfaction,10,CoPlanner,,7.701586794,7.294862678,16,,2,
Planning-Focused Products,Product Satisfaction,10,Corporate Planning,,7.701586794,6.954190771,17,,2,
Planning-Focused Products,Product Satisfaction,10,IBM Plan. Analytics,,7.701586794,7.465760796,15,,2,
Planning-Focused Products,Product Satisfaction,10,Jedox,,7.701586794,8.395555333,6,,2,
Planning-Focused Products,Product Satisfaction,10,LucaNet,,7.701586794,7.596292735,13,,2,
Planning-Focused Products,Product Satisfaction,10,macs Software,,7.701586794,10,1,,2,
Planning-Focused Products,Product Satisfaction,10,OneStream,,7.701586794,9.66944706,2,,2,
Planning-Focused Products,Product Satisfaction,10,Oracle Cloud EPM,,7.701586794,7.969460514,10,,2,
Planning-Focused Products,Product Satisfaction,10,Planful,,7.701586794,9.008341181,3,,2,
Planning-Focused Products,Product Satisfaction,10,Prophix,,7.701586794,7.715439536,12,,2,
Planning-Focused Products,Product Satisfaction,10,SAP Analytics Cloud,,7.701586794,5.719983367,18,,2,
Planning-Focused Products,Product Satisfaction,10,SAP BPC,,7.701586794,1,19,,2,
Planning-Focused Products,Product Satisfaction,10,Serviceware Perf.,,7.701586794,7.591685726,14,,2,
Planning-Focused Products,Product Satisfaction,10,Unit4 FP&A,,7.701586794,8.016682362,9,,2,
Planning-Focused Products,Product Satisfaction,10,Valsight,,7.701586794,7.831623767,11,,2,
Planning-Focused Products,Product Satisfaction,10,Workday Adapt. Plan.,,7.701586794,8.146161624,8,,2,
Planning-Focused Products,Sales Experience,11,Anaplan,,5.683928322,5.723880842,12,,2,
Planning-Focused Products,Sales Experience,11,Board,,5.683928322,4.632959825,14,,2,
Planning-Focused Products,Sales Experience,11,CCH Tagetik,,5.683928322,6.794861984,7,,2,
